餐厅名称,餐厅号,订单号,工作流程编号,订单日期/退款日期,订单接受时间,用餐模式,订餐渠道,订单状态,餐点销售额（不含税费）,餐点销售额的税费,费用调整（不含税费）,调整金额的税费,餐点销售额的消费税/统一销售税,餐点销售额的省销售税,餐点销售额的魁北克销售税,餐点销售额的零售销售税,已使用优惠,餐点优惠额税款,派送优惠金额,派送优惠金额的税费,营销服务费调整,小计,派送费,派送费与高需求区域费用的税费,派送费的消费税/统一销售税,派送费的省销售税,派送费的魁北克销售税,派送费的零售销售税,打包费,订单总金额（含税费）,派送费用（不含税费）,派送费用的税费,派送费用的消费税/统一销售税,派送费用的省销售税,派送费用的魁北克销售税,派送费用的零售销售税,派送总费用（含税费）,优步服务费,优步服务费优惠,Tax on Uber Service Fee,GST / HST on Uber Service Fee,PST on Uber Service Fee,QST on Uber Service Fee,RST on Uber Service Fee,广告支出的消费税/统一销售税,广告支出的销售税,广告消费金的消费税/统一销售税,广告消费金的销售税,派送利润,小费,杂项费用说明,杂项费用,平台促进者税费,净收入,收入付款日期,收入付款状态,发票（优步给餐厅开具）链接,发票（派送员给餐厅开具）链接,发票（餐厅给顾客开具）链接,收入付款参考编号
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#0668A,9e2f5c84-37e0-4497-bfaa-2c76c600668a,2022-04-23,23:56,派送 - 使用优步应用的派送员,iOS,已完成,53.69,2.68,0,0,2.6845,0,0,0,-25,-1.25,0,0,0,56.37,0,0,0,0,0,0,0,30.37,0,0,0,0,0,0,0,-5.74,0,-0.29,-0.29,,0,,0,0,0,0,0,0,,0,0,24.09,,待处理,,,https://restaurant.uber.com/payments/invoices/order/00b588f5-36ed-5486-ab18-f4eaef61f63f?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,,,,,,未知,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,-0.64,0,0,0,0,0,广告支出,-12.88,0,-13.52,,待处理,,,,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#8D6A4,f6e32532-b143-457b-8ae4-16c837e8d6a4,2022-04-24,15:21,派送 - 使用优步应用的派送员,iOS,已完成,54.69,2.74,0,0,2.7345,0,0,0,-11,-0.55,0,0,4.4,57.43,0,0,0,0,0,0,0,46.13,0,0,0,0,0,0,0,-9.62,0,-0.48,-0.48,,0,,0,0,0,0,0,0,,0,0,40.18,,待处理,,,https://restaurant.uber.com/payments/invoices/order/87f2fffe-7069-541f-81fd-719108cb2a17?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#2221D,62c03149-903b-4bc0-86b4-fdfb05e2221d,2022-04-24,17:51,自取,iOS,已完成,89.5,4.48,0,0,4.475,0,0,0,0,0,0,0,0,93.98,0,0,0,0,0,0,0,93.98,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,93.98,,待处理,,,https://restaurant.uber.com/payments/invoices/order/010e7edb-ce37-5913-8a64-11511247b7b7?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#A0407,74b817b4-d0e7-44f0-ad3b-1890effa0407,2022-04-24,21:10,派送 - 使用优步应用的派送员,iOS,已完成,5.9,0.3,0,0,0.295,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,-0.94,0,-0.05,-0.05,,0,,0,0,0,0,0,0,,0,0,5.21,,待处理,,,https://restaurant.uber.com/payments/invoices/order/9c81e72a-2817-569c-86a8-52641c64b78e?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#F3011,e6b1028b-ea83-43bf-a2e7-adda995f3011,2022-04-24,21:18,自取,iOS,已完成,16.85,0.84,0,0,0.8425,0,0,0,0,0,0,0,0,17.69,0,0,0,0,0,0,0,17.69,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,17.69,,待处理,,,https://restaurant.uber.com/payments/invoices/order/7d8f0954-159d-52b9-b140-58f89365f213?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#A685E,db41cf87-94f1-4438-8de9-45bfa36a685e,2022-04-24,22:47,派送 - 使用优步应用的派送员,iOS,已完成,49.74,2.49,0,0,2.487,0,0,0,-11,-0.55,0,0,4.4,52.23,0,0,0,0,0,0,0,40.93,0,0,0,0,0,0,0,-8.63,0,-0.43,-0.43,,0,,0,0,0,0,0,0,,0,0,36.02,,待处理,,,https://restaurant.uber.com/payments/invoices/order/8d9095c0-bee7-5dbf-9344-9cf2a1fb9139?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,,,,,,未知,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,-0.76,0,0,0,0,0,广告支出,-15.19,0,-15.95,,,,,,
