餐厅名称,餐厅号,订单号,工作流程编号,订单日期/退款日期,订单接受时间,用餐模式,订餐渠道,订单状态,餐点销售额（不含税费）,餐点销售额的税费,费用调整（不含税费）,调整金额的税费,餐点销售额的消费税/统一销售税,餐点销售额的省销售税,餐点销售额的魁北克销售税,餐点销售额的零售销售税,已使用优惠,餐点优惠额税款,派送优惠金额,派送优惠金额的税费,营销服务费调整,小计,派送费,派送费与高需求区域费用的税费,派送费的消费税/统一销售税,派送费的省销售税,派送费的魁北克销售税,派送费的零售销售税,打包费,订单总金额（含税费）,派送费用（不含税费）,派送费用的税费,派送费用的消费税/统一销售税,派送费用的省销售税,派送费用的魁北克销售税,派送费用的零售销售税,派送总费用（含税费）,优步服务费,优步服务费优惠,Tax on Uber Service Fee,GST / HST on Uber Service Fee,PST on Uber Service Fee,QST on Uber Service Fee,RST on Uber Service Fee,广告支出的消费税/统一销售税,广告支出的销售税,广告消费金的消费税/统一销售税,广告消费金的销售税,派送利润,小费,杂项费用说明,杂项费用,平台促进者税费,净收入,收入付款日期,收入付款状态,发票（优步给餐厅开具）链接,发票（派送员给餐厅开具）链接,发票（餐厅给顾客开具）链接,收入付款参考编号
Haidilao Hotpot Restaurant 海底捞 (Richmond),,,,,,,未知,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,-0.57,0,0,0,0,0,广告支出,-11.4,0,-11.97,,,,,,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,,,,,,未知,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,-0.63,0,0,0,0,0,广告支出,-12.68,0,-13.31,,,,,,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,,,,,,未知,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.63,0,0,0,广告消费金,12.68,0,13.31,,,,,,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#88771,99546139-809c-4c9f-9b06-073392588771,2022-05-06,18:15,派送 - 使用优步应用的派送员,安卓,已完成,35.88,1.79,0,0,1.794,0,0,0,0,0,0,0,0,37.67,0,0,0,0,0,0,0,37.9,0,0,0,0,0,0,0,-7.18,0,-0.36,-0.36,,0,,0,0,0,0,0,0,,0,0,30.13,,,,,https://restaurant.uber.com/payments/invoices/order/eb68d81d-9d3c-5a11-9e06-7f00774f5950?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#74D94,b9ed3fdd-a071-4674-b7c9-91ea37674d94,2022-05-06,18:27,派送 - 使用优步应用的派送员,iOS,已完成,58.64,2.93,0,0,2.932,0,0,0,0,0,0,0,0,61.57,0,0,0,0,0,0,0,61.82,0,0,0,0,0,0,0,-9.38,0,-0.47,-0.47,,0,,0,0,0,0,0,0,,0,0,51.72,,,,,https://restaurant.uber.com/payments/invoices/order/a2e15cf3-37fc-5c6e-be02-9faa5370c405?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#63800,959e12b1-fc86-4caa-8727-562785963800,2022-05-06,20:48,派送 - 使用优步应用的派送员,iOS,已完成,60.73,3.04,0,0,3.0365,0,0,0,0,0,0,0,0,63.77,0,0,0,0,0,0,0,64.02,0,0,0,0,0,0,0,-12.15,0,-0.61,-0.61,,0,,0,0,0,0,0,0,,0,0,51.01,,,,,https://restaurant.uber.com/payments/invoices/order/bc4258dd-1a68-5dcc-abcd-fd9842340342?invoiceType=restaurant_to_customer,
Haidilao Hotpot Restaurant 海底捞 (Richmond),,#786DF,f95b7aba-eb83-49e5-8f54-bd03349786df,2022-05-06,21:59,派送 - 使用优步应用的派送员,iOS,已完成,56.15,2.81,0,0,2.8075,0,0,0,0,0,0,0,0,58.96,0,0,0,0,0,0,0,59.21,0,0,0,0,0,0,0,-8.98,0,-0.45,-0.45,,0,,0,0,0,0,0,0,,0,0,49.53,,,,,https://restaurant.uber.com/payments/invoices/order/668ffd10-ae17-5217-8a60-720842919f6d?invoiceType=restaurant_to_customer,
